NOME_MES;ORGAO;NOME_ORGAO;SIGLA_ORGAO;APROVADA;DISTRIBUIDA;OCUPADA;VAGAS
jan 2016;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;14458;13940;9690;4768
jan 2016;15000;MINISTERIO DA EDUCACAO;MEC;46867;2337;1018;45849
jan 2016;16000;COMANDO DO EXERCITO;C.EX;12201;12199;5999;6202
jan 2016;16100;FUNDACAO OSORIO;F OSORIO;130;130;66;64
jan 2016;17000;MINISTERIO DA FAZENDA;MF;57186;55091;31813;25373
jan 2016;20000;MINISTERIO DA JUSTICA;MJ;3893;3074;2241;1652
jan 2016;20101;PRESIDENCIA DA REPUBLICA;PR;494;475;344;150
jan 2016;20102;VICE-PRESIDENCIA DA REPUBLICA;VPR;3;3;0;3
jan 2016;20114;AGENCIA BRASILEIRA DE INTELIGENCIA;ABIN;128;107;62;66
jan 2016;20115;DEPARTAMENTO DE POLICIA FEDERAL;DPF;17968;17569;14013;3955
jan 2016;20224;AGENCIA NACIONAL DO CINEMA;ANCINE;363;363;349;14
jan 2016;21000;COMANDO DA AERONAUTICA;C.AER;10697;9733;5330;5367
jan 2016;21201;CAIXA DE FINANCIAMENTO IMOB.AERONAUTICA;CFIA;6;6;1;5
jan 2016;21300;AGENCIA ESPACIAL BRASILEIRA;AEB;255;255;7;248
jan 2016;24203;FUNDACAO NACIONAL DE ARTES;FUNARTE;526;526;262;264
jan 2016;24204;INSTITUTO DO PATR.HIST.E ART. NACIONAL;IPHAN;1269;1268;760;509
jan 2016;24205;FUNDACAO BIBLIOTECA NACIONAL;FBN;544;544;362;182
jan 2016;25000;MINISTERIO DA SAUDE;MS;110962;105611;65627;45335
jan 2016;26104;INSTITUTO NACIONAL DE EDUCACAO DE SURDOS;INES;508;507;442;66
jan 2016;26105;INSTITUTO BENJAMIN CONSTANT;I.B.CONST;284;273;250;34
jan 2016;26106;FUNDO NACIONAL DE DESENVOLV. DA EDUCACAO;FNDE;1128;1128;593;535
jan 2016;26107;INST.NACIONAL DE EST.E PESQ.EDUCACIONAIS;INEP;619;534;420;199
jan 2016;26201;COLEGIO PEDRO II;C.PEDROII;2247;2225;2140;107
jan 2016;26230;FUND.UNIV.FED.DO VALE DO SAO FRANCISCO;UNIVASF;974;856;841;133
jan 2016;26231;UNIVERSIDADE FEDERAL DE ALAGOAS;UFAL;3545;3417;3298;247
jan 2016;26232;UNIVERSIDADE FEDERAL DA BAHIA;UFBA;6026;6005;5547;479
jan 2016;26233;UNIVERSIDADE FEDERAL DO CEARA;UFCE;6478;6222;5883;595
jan 2016;26234;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;UFES;4098;4043;3826;272
jan 2016;26235;UNIVERSIDADE FEDERAL DE GOIAS;UFGO;5319;5113;4894;425
jan 2016;26236;UNIVERSIDADE FEDERAL FLUMINENSE;UFF;7851;7738;7421;430
jan 2016;26237;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF;3341;3242;3162;179
