Mes,faixa2
jan/15,246
fev/15,225
mar/15,532
abr/15,510
mai/15,442
jun/15,362
jul/15,342
ago/15,336
set/15,312
out/15,326
nov/15,241
dez/15,210
jan/16,166
fev/16,180
mar/16,362
abr/16,657
mai/16,511
jun/16,393
jul/16,321
ago/16,285
set/16,246
out/16,244
nov/16,204
dez/16,170
jan/17,150
fev/17,190
mar/17,319
abr/17,334
mai/17,370
jun/17,312
jul/17,231
ago/17,235
set/17,264
out/17,218
nov/17,209
dez/17,198
jan/18,141
fev/18,138
mar/18,282
abr/18,385
mai/18,447
jun/18,352
jul/18,301
ago/18,268
set/18,267
out/18,282
nov/18,236
dez/18,214
jan/19,170
fev/19,192
mar/19,370
abr/19,461
mai/19,431
jun/19,357
jul/19,272
ago/19,251
set/19,229
out/19,265
nov/19,203
dez/19,170
jan/20,120
fev/20,172
mar/20,280
abr/20,138
mai/20,80
jun/20,101
jul/20,121
ago/20,130
set/20,99
out/20,92
nov/20,130
dez/20,76
