data,faixa0a4
jan/15,351
fev/15,332
mar/15,751
abr/15,800
mai/15,746
jun/15,599
jul/15,530
ago/15,520
set/15,468
out/15,504
nov/15,384
dez/15,312
jan/16,251
fev/16,258
mar/16,509
abr/16,1011
mai/16,777
jun/16,663
jul/16,545
ago/16,425
set/16,399
out/16,390
nov/16,290
dez/16,255
jan/17,235
fev/17,276
mar/17,489
abr/17,538
mai/17,598
jun/17,514
jul/17,365
ago/17,339
set/17,366
out/17,325
nov/17,308
dez/17,280
jan/18,219
fev/18,201
mar/18,411
abr/18,570
mai/18,666
jun/18,627
jul/18,531
ago/18,408
set/18,374
out/18,399
nov/18,355
dez/18,309
jan/19,264
fev/19,310
mar/19,631
abr/19,736
mai/19,721
jun/19,581
jul/19,418
ago/19,339
set/19,344
out/19,373
nov/19,307
dez/19,244
jan/20,188
fev/20,246
mar/20,421
abr/20,228
mai/20,150
jun/20,144
jul/20,176
ago/20,194
set/20,143
out/20,132
nov/20,171
dez/20,113
