data,faixa0a4
2015-01,351
2015-02,332
2015-03,751
2015-04,800
2015-05,746
2015-06,599
2015-07,530
2015-08,520
2015-09,468
2015-10,504
2015-11,384
2015-12,312
2016-01,251
2016-02,258
2016-03,509
2016-04,1011
2016-05,777
2016-06,663
2016-07,545
2016-08,425
2016-09,399
2016-10,390
2016-11,290
2016-12,255
2017-01,235
2017-02,276
2017-03,489
2017-04,538
2017-05,598
2017-06,514
2017-07,365
2017-08,339
2017-09,366
2017-10,325
2017-11,308
2017-12,280
2018-01,219
2018-02,201
2018-03,411
2018-04,570
2018-05,666
2018-06,627
2018-07,531
2018-08,408
2018-09,374
2018-10,399
2018-11,355
2018-12,309
2019-01,264
2019-02,310
2019-03,631
2019-04,736
2019-05,721
2019-06,581
2019-07,418
2019-08,339
2019-09,344
2019-10,373
2019-11,307
2019-12,244
2020-01,188
2020-02,246
2020-03,421
2020-04,228
2020-05,150
2020-06,144
2020-07,176
2020-08,194
2020-09,143
2020-10,132
2020-11,171
2020-12,113
